term,category,roman_variants,notes
Lahore,location,"Lahore,Lahor,Lhr",Provincial capital
Karachi,location,"Karachi,Krachi,KHI",Largest city
Islamabad,location,"Islamabad,ISB,Islambad",Federal capital
Rawalpindi,location,"Rawalpindi,Pindi,RWP",Twin city with Islamabad
Faisalabad,location,"Faisalabad,Lyallpur,FSD",Industrial hub
Multan,location,"Multan,MUX",City of saints
Peshawar,location,"Peshawar,PSH",KPK capital
Quetta,location,"Quetta,UET",Balochistan capital
Gujranwala,location,"Gujranwala,GRW",
Sialkot,location,"Sialkot,SKT",Export hub
Bahria Town,location,"Bahria,Bahria Town",Major housing society
DHA,location,"DHA,Defence",Defence Housing Authority
Gulberg,location,"Gulberg,Gulberg",Posh area
Johar Town,location,"Johar,Johar Town",Residential area
Model Town,location,"Model Town,Model",Planned community
Cantt,location,"Cantt,Cantonment",Military cantonment area
Saddar,location,"Saddar,Sadar",Commercial district
F-6,location,"F6,F-6,F Six",Islamabad sector
F-7,location,"F7,F-7,F Seven",Islamabad sector
F-8,location,"F8,F-8,F Eight",Islamabad sector
F-10,location,"F10,F-10,F Ten",Islamabad sector
G-11,location,"G11,G-11,G Eleven",Islamabad sector
I-8,location,"I8,I-8,I Eight",Islamabad sector
Blue Area,location,"Blue Area,Blue",Commercial hub Islamabad
Clifton,location,"Clifton,Cliffton",Karachi posh area
Plot,property_type,"Plot,Plat",Land parcel
House,property_type,"House,Ghar,Makaan",Residential building
Flat,property_type,"Flat,Apartment",Apartment unit
Portion,property_type,"Portion,Hissa",Part of house
Shop,property_type,"Shop,Dukaan",Commercial space
Office,property_type,"Office,Daftar",Commercial workspace
Warehouse,property_type,"Warehouse,Godown",Storage facility
Marla,unit,"Marla,Marlaa",Area unit (272.25 sq ft)
Kanal,unit,"Kanal,Canal",Area unit (20 marlas)
Square feet,unit,"Sq ft,Square feet,Sqft",Area measurement
Square yard,unit,"Sq yard,Sq yd,Gaz",Area measurement
Bedroom,feature,"Bedroom,Kamra,Room",Sleeping room
Bathroom,feature,"Bathroom,Washroom",Bathroom facility
Kitchen,feature,"Kitchen,Bawarchi Khana",Cooking area
Lounge,feature,"Lounge,Baithak,Drawing room",Living room
Parking,feature,"Parking,Garage",Vehicle storage
Terrace,feature,"Terrace,Chhat",Roof area
Basement,feature,"Basement,Tehkhana",Underground level
Garden,feature,"Garden,Lawn,Bagh",Outdoor green space
Boundary wall,feature,"Boundary wall,Compound wall",Perimeter wall
Main road,location_feature,"Main road,Main boulevard",Major road
Corner,location_feature,"Corner,Corner plot",Corner property
Facing park,location_feature,"Park facing,Park view",Overlooks park
Nearby,location_feature,"Nearby,Qareeb,Nazdeek",Close to
Commercial,usage,"Commercial,Tijaarti",Business use
Residential,usage,"Residential,Rahaaishi",Living use
Buy,transaction,"Buy,Purchase,Khareedna",Purchase property
Sell,transaction,"Sell,Bechna",Sell property
Rent,transaction,"Rent,Kiraya",Lease property
Lease,transaction,"Lease,Ijara",Long-term rent
Investment,purpose,"Investment,Sarmaya",Financial investment
Own use,purpose,"Own use,Apnay liye",Personal living
Budget,financial,"Budget,Qeemat range",Price range
Down payment,financial,"Down payment,Advance,Peshgi",Initial payment
Installment,financial,"Installment,Qist",Payment plan
Cash,financial,"Cash,Naqdai",Full payment
Lakh,financial,"Lakh,Lac",100,000 (unit)
